#;;;;;;;;;;;;;;x
sax_gorlitz_title;Reclaim Gorlitz;;;;;;;;;;;;;;;x;
sax_gorlitz_desc;We used to hold this land before the Congress of Vienna, but we will not abandon our claims due to our enemy's injustice.;;;;;;;;;;;;;;;x;
bra_calenberg_title;Retake Calenberg;;;;;;;;;;;;;;;x;
bra_calenberg_desc;We used to hold this land before the Congress of Vienna, but we will not abandon our claims due to our enemy's injustice.;;;;;;;;;;;;;;;x;
thu_unite_title;Unite Thuringia;;;;;;;;;;;;;;;x;
thu_unite_desc;Long have the Saxon states been separated, all because of so many primitive inheritance laws , let us reunite once more, by force if necessary.;;;;;;;;;;;;;;;x;
EVTDESC31311_NEWS_LONG;Poggers, the Swiss chose to follow mainly one culture, what did they choose? I hope its Romansh cuz thats kinda cool. If its french then thats kinda gay, i hope they lose. Germs are cringe too.;;;;;;;;;;;;;;;x;
EVTDESC31311_NEWS_MEDIUM;Swiss can choose language, what will they do? How do they have banks if they arent jewish?;;;;;;;;;;;;;;;x;
EVTDESC31311_NEWS_SHORT;Switzerland is the Brazil of Europe;;;;;;;;;;;;;;;x;
swiss_language_dec_title;Favoritize a language;;;;;;;;;;;;;;;x;
swiss_language_dec_desc;Swiss isnt a culture to begin with, but these ones are. Do you think any neighboring culture is better than the others? Choose one then, click the button.;;;;;;;;;;;;;;;x;
brg_wallonia_title;Take over Belgium;;;;;;;;;;;;;;;x;
brg_wallonia_desc;Renew our claims on the low countries.;;;;;;;;;;;;;;;x;
brg_alsace_title;Take Alsace-Lorraine;;;;;;;;;;;;;;;x;
brg_alsace_desc;Reconquer Alsace-Lorraine, it belongs to neither the french or the germans!;;;;;;;;;;;;;;;x;
