;;;;;;;;;;;;;x,,
build_port_upto_level_1_title;§CConstruct Level 1 Naval Bases§!;;;;;;;;;;;;x,,
build_port_upto_level_2_title;§CConstruct Level 2 Naval Bases§!;;;;;;;;;;;;x,,
build_port_upto_level_3_title;§CConstruct Level 3 Naval Bases§!;;;;;;;;;;;;x,,
build_port_upto_level_4_title;§CConstruct Level 4 Naval Bases§!;;;;;;;;;;;;x,,
build_port_upto_level_5_title;§CConstruct Level 5 Naval Bases§!;;;;;;;;;;;;x,,
build_port_upto_level_6_title;§CConstruct Level 6 Naval Bases§!;;;;;;;;;;;;x,,
build_port_upto_level_7_title;§CConstruct Level 7 Naval Bases§!;;;;;;;;;;;;x,,
build_port_upto_level_1_desc;Constructing naval bases is a nightmare for larger nations. This decision will upgrade all existing ports to level 1. Your mouse hand will be thankful.\n\nNOTE: \n\nBe a gentlemen! Do not abuse it for cheap instant colonial points or naval supply.;;;;;;;;;;;;x,,
build_port_upto_level_2_desc;Constructing naval bases is a nightmare for larger nations. This decision will upgrade all existing ports to level 2. Your mouse hand will be thankful.\n\nNOTE: \n\nBe a gentlemen! Do not abuse it for cheap instant colonial points or naval supply.;;;;;;;;;;;;x,,
build_port_upto_level_3_desc;Constructing naval bases is a nightmare for larger nations. This decision will upgrade all existing ports to level 3. Your mouse hand will be thankful.\n\nNOTE: \n\nBe a gentlemen! Do not abuse it for cheap instant colonial points or naval supply.;;;;;;;;;;;;x,,
build_port_upto_level_4_desc;Constructing naval bases is a nightmare for larger nations. This decision will upgrade all existing ports to level 4. Your mouse hand will be thankful.\n\nNOTE: \n\nBe a gentlemen! Do not abuse it for cheap instant colonial points or naval supply.;;;;;;;;;;;;x,,
build_port_upto_level_5_desc;Constructing naval bases is a nightmare for larger nations. This decision will upgrade all existing ports to level 5. Your mouse hand will be thankful.\n\nNOTE: \n\nBe a gentlemen! Do not abuse it for cheap instant colonial points or naval supply.;;;;;;;;;;;;x,,
build_port_upto_level_6_desc;Constructing naval bases is a nightmare for larger nations. This decision will upgrade all existing ports to level 6. Your mouse hand will be thankful.\n\nNOTE: \n\nBe a gentlemen! Do not abuse it for cheap instant colonial points or naval supply.;;;;;;;;;;;;x,,
build_port_upto_level_7_desc;Constructing naval bases is a nightmare for larger nations. This decision will upgrade all existing ports to level 7. Your mouse hand will be thankful.\n\nNOTE: \n\nBe a gentlemen! Do not abuse it for cheap instant colonial points or naval supply.;;;;;;;;;;;;x,,
build_fort_upto_level_1_title;§CConstruct Level 1 Forts§!;;;;;;;;;;;;x,,
build_fort_upto_level_2_title;§CConstruct Level 2 Forts§!;;;;;;;;;;;;x,,
build_fort_upto_level_3_title;§CConstruct Level 3 Forts§!;;;;;;;;;;;;x,,
build_fort_upto_level_4_title;§CConstruct Level 4 Forts§!;;;;;;;;;;;;x,,
build_fort_upto_level_5_title;§CConstruct Level 5 Forts§!;;;;;;;;;;;;x,,
build_fort_upto_level_6_title;§CConstruct Level 6 Forts§!;;;;;;;;;;;;x,,
build_fort_upto_level_1_desc;Will build Level 1 forts in any province that does not have one.;;;;;;;;;;;;x,,
build_fort_upto_level_2_desc;Will upgrade the levels of all forts that exist by 1, and will build level 2 forts in any province currently without a fort.\n\nNOTE: This is a ONE TIME USE decision as the game cannot determine the level of a fort once built.;;;;;;;;;;;;x,,
build_fort_upto_level_3_desc;Will upgrade the levels of all forts that exist by 1, and will build level 3 forts in any province currently without a fort.\n\nNOTE: This is a ONE TIME USE decision as the game cannot determine the level of a fort once built.;;;;;;;;;;;;x,,
build_fort_upto_level_4_desc;Will upgrade the levels of all forts that exist by 1, and will build level 4 forts in any province currently without a fort.\n\nNOTE: This is a ONE TIME USE decision as the game cannot determine the level of a fort once built.;;;;;;;;;;;;x,,
build_fort_upto_level_5_desc;Will upgrade the levels of all forts that exist by 1, and will build level 5 forts in any province currently without a fort.\n\nNOTE: This is a ONE TIME USE decision as the game cannot determine the level of a fort once built.;;;;;;;;;;;;x,,
build_fort_upto_level_6_desc;Will upgrade the levels of all forts that exist by 1, and will build level 6 forts in any province currently without a fort.\n\nNOTE: This is a ONE TIME USE decision as the game cannot determine the level of a fort once built.;;;;;;;;;;;;x,,
fort_constructions;Ongoing Constructions;;;;;;;;;;;;x,,
fort_constructions_desc;Our national ressources are currently used for construction projects.;;;;;;;;;;;;x,,
