#;;;;;;;;;;;;;;x
CHL_conservative;Partido Conservador;;;;;;;;;;;;x;;;
CHL_liberal;Partido Liberal;;;;;;;;;;;;x;;;
CHL_pipiolos;Pipiolos;;;;;;;;;;;;x;;;
CHL_igualdad;Sociedad de la igualdad;;;;;;;;;;;;x;;;
CHL_reactionary;Estanqueros;;;;;;;;;;;;x;;;
CHL_pelucones;Pelucones;;;;;;;;;;;;x;;;
CHL_ohigginistas;O'Higginistas;;;;;;;;;;;;x;;;
CHL_radical;Anarquistas;;;;;;;;;;;;x;;;
CHL_radical;Anarquistas;;;;;;;;;;;;x;;;
CHL_fusion;Fusión Liberal-Conservadora;;;;;;;;;;;;x;;;
CHL_nacional;Partido Nacional;;;;;;;;;;;;x;;;
CHL_liberal_2;Partido Liberal Independiente;;;;;;;;;;;;x;;;
CHL_liberal_3;Partido Liberal Unido;;;;;;;;;;;;x;;;
CHL_liberal_4;Partido Liberal;;;;;;;;;;;;x;;;
CHL_neo;Partido Portaliano;;;;;;;;;;;;x;;;
CHL_ultramontanos;Partido Ultramontano;;;;;;;;;;;;x;;;
CHL_communist;Partido Comunista de Chile;;;;;;;;;;;;x;;;
CHL_socialist;Partido Obrero Socialista;;;;;;;;;;;;x;;;
USA_social_liberal;Progressive Republicans;;;;;;;;;;;;x,,
USA_social_liberal_2;Liberal Democrats;;;;;;;;;;;;x,,
GER_social_liberal;Deutsche Volkspartei;;;;;;;;;;;;x,,
GER_social_liberal_2;Deutsche Demokratische Partei;;;;;;;;;;;;x,,
ENG_social_liberal;New Liberals;;;;;;;;;;;;x,,
FRA_social_liberal;Parti radical;;;;;;;;;;;;x,,
RUS_social_liberal;Left Kadets;;;;;;;;;;;;x,,
SPA_social_liberal;Partido Liberal;;;;;;;;;;;;x,,
HOL_social_liberal;Radicale Bond;;;;;;;;;;;;x,,
HOL_social_liberal_2;Vrijzinnig Democratische Bond;;;;;;;;;;;;x,,
SWE_social_liberal;Bondeförbundet;;;;;;;;;;;;x,,
JAP_social_liberal;New Constitutionalists;;;;;;;;;;;;x,,
BRZ_social_liberal;Partido Civil;;;;;;;;;;;;x,,
AUS_social_liberal;United Left;;;;;;;;;;;;x,,
BEL_social_liberal;Parti Progressiste;;;;;;;;;;;;x,,
BEL_social_liberal_2;Progressistes;;;;;;;;;;;;x,,
AST_social_liberal;Liberal Protectionists;;;;;;;;;;;;x,,
CAN_social_liberal;Progressive Party;;;;;;;;;;;;x,,
CSA_social_liberal;National Grange;;;;;;;;;;;;x,,
IDC_conservative;Conservative Party;;;;;;;;;;;;x,,
IDC_iberal;Liberal Party;;;;;;;;;;;;x,,
IDC_communist;Communist Party;;;;;;;;;;;;x,,
IDC_radical;Radical Party;;;;;;;;;;;;x,,
IDC_fascist;Fascist Party;;;;;;;;;;;;x,,
IDC_reactionary;Reactionary Party;;;;;;;;;;;;x,,
IDC_socialist;Socialist Party;;;;;;;;;;;;x,,
